id,product_id,sku,slug,variant_name,service_type_id,duration_display,duration_weeks_min,duration_weeks_max,delivery_complexity,implementation_model,badge,positioning,is_default_variant,status,created_at,updated_at
20,4,EXP-DES-20,physical-channels-high-impact-design-20,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn physical channels and frontline experience goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
21,4,EXP-AI_-21,physical-channels-high-impact-ai-design-21,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for physical channels and frontline experience, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
22,4,EXP-DEP-22,physical-channels-high-impact-implementation-22,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed physical channels and frontline experience changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
23,4,EXP-AI_-23,physical-channels-high-impact-ai-implementation-23,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled physical channels and frontline experience workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
24,4,EXP-MAN-24,physical-channels-high-impact-managed-service-24,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve physical channels and frontline experience with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
25,5,EXP-ADV-25,experience-solutions-high-impact-assess-25,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how integrated customer and employee experience perform today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
26,5,EXP-DES-26,experience-solutions-high-impact-design-26,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn integrated customer and employee experience goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
27,5,EXP-AI_-27,experience-solutions-high-impact-ai-design-27,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for integrated customer and employee experience, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
28,5,EXP-DEP-28,experience-solutions-high-impact-implementation-28,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed integrated customer and employee experience changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
29,5,EXP-AI_-29,experience-solutions-high-impact-ai-implementation-29,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled integrated customer and employee experience workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
30,5,EXP-MAN-30,experience-solutions-high-impact-managed-service-30,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve integrated customer and employee experience with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
31,6,EXP-ADV-31,crm-solutions-high-impact-assess-31,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how CRM and relationship management perform today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
32,6,EXP-DES-32,crm-solutions-high-impact-design-32,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn CRM and relationship management goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
33,6,EXP-AI_-33,crm-solutions-high-impact-ai-design-33,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for CRM and relationship management, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
34,6,EXP-DEP-34,crm-solutions-high-impact-implementation-34,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed CRM and relationship management changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
35,6,EXP-AI_-35,crm-solutions-high-impact-ai-implementation-35,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled CRM and relationship management workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
36,6,EXP-MAN-36,crm-solutions-high-impact-managed-service-36,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve CRM and relationship management with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
37,7,EXP-ADV-37,marketing-solutions-high-impact-assess-37,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how marketing operations and campaigns perform today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
38,7,EXP-DES-38,marketing-solutions-high-impact-design-38,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn marketing operations and campaigns goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
39,7,EXP-AI_-39,marketing-solutions-high-impact-ai-design-39,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for marketing operations and campaigns, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
40,7,EXP-DEP-40,marketing-solutions-high-impact-implementation-40,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed marketing operations and campaigns changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
41,7,EXP-AI_-41,marketing-solutions-high-impact-ai-implementation-41,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled marketing operations and campaigns workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
42,7,EXP-MAN-42,marketing-solutions-high-impact-managed-service-42,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve marketing operations and campaigns with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
43,8,EXP-ADV-43,smart-sales-quotation-high-impact-assess-43,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how sales and quotation perform today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
44,8,EXP-DES-44,smart-sales-quotation-high-impact-design-44,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn sales and quotation goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
45,8,EXP-AI_-45,smart-sales-quotation-high-impact-ai-design-45,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for sales and quotation, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
46,8,EXP-DEP-46,smart-sales-quotation-high-impact-implementation-46,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed sales and quotation changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
47,8,EXP-AI_-47,smart-sales-quotation-high-impact-ai-implementation-47,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled sales and quotation workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
48,8,EXP-MAN-48,smart-sales-quotation-high-impact-managed-service-48,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve sales and quotation with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
49,9,EXP-ADV-49,customer-support-success-high-impact-assess-49,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how customer support and success perform today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
50,9,EXP-DES-50,customer-support-success-high-impact-design-50,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn customer support and success goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
51,9,EXP-AI_-51,customer-support-success-high-impact-ai-design-51,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for customer support and success, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
52,9,EXP-DEP-52,customer-support-success-high-impact-implementation-52,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed customer support and success changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
53,9,EXP-AI_-53,customer-support-success-high-impact-ai-implementation-53,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled customer support and success workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
54,9,EXP-MAN-54,customer-support-success-high-impact-managed-service-54,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve customer support and success with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
55,10,OPE-ADV-55,digital-workplace-high-impact-assess-55,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how digital workplace and collaboration perform today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
56,10,OPE-DES-56,digital-workplace-high-impact-design-56,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn digital workplace and collaboration goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
57,10,OPE-AI_-57,digital-workplace-high-impact-ai-design-57,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for digital workplace and collaboration, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
58,10,OPE-DEP-58,digital-workplace-high-impact-implementation-58,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed digital workplace and collaboration changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
59,10,OPE-AI_-59,digital-workplace-high-impact-ai-implementation-59,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled digital workplace and collaboration workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
60,10,OPE-MAN-60,digital-workplace-high-impact-managed-service-60,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve digital workplace and collaboration with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
61,11,OPE-ADV-61,business-process-automation-high-impact-assess-61,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how business process automation performs today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
62,11,OPE-DES-62,business-process-automation-high-impact-design-62,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn business process automation goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
63,11,OPE-AI_-63,business-process-automation-high-impact-ai-design-63,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for business process automation, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
64,11,OPE-DEP-64,business-process-automation-high-impact-implementation-64,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed business process automation changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
65,11,OPE-AI_-65,business-process-automation-high-impact-ai-implementation-65,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled business process automation workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
66,11,OPE-MAN-66,business-process-automation-high-impact-managed-service-66,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve business process automation with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
73,12,OPE-ADV-73,specialized-operations-high-impact-assess-73,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how specialised operations perform today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
74,12,OPE-DES-74,specialized-operations-high-impact-design-74,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn specialised operations goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
75,12,OPE-AI_-75,specialized-operations-high-impact-ai-design-75,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for specialised operations, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
76,12,OPE-DEP-76,specialized-operations-high-impact-implementation-76,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed specialised operations changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
77,12,OPE-AI_-77,specialized-operations-high-impact-ai-implementation-77,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled specialised operations workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
78,12,OPE-MAN-78,specialized-operations-high-impact-managed-service-78,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve specialised operations with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
79,13,OPE-ADV-79,enterprise-operations-high-impact-assess-79,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how enterprise operations perform today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
80,13,OPE-DES-80,enterprise-operations-high-impact-design-80,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn enterprise operations goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
81,13,OPE-AI_-81,enterprise-operations-high-impact-ai-design-81,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for enterprise operations, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
82,13,OPE-DEP-82,enterprise-operations-high-impact-implementation-82,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed enterprise operations changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
83,13,OPE-AI_-83,enterprise-operations-high-impact-ai-implementation-83,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled enterprise operations workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
84,13,OPE-MAN-84,enterprise-operations-high-impact-managed-service-84,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve enterprise operations with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
85,14,SEC-ADV-85,governance-risk-compliance-high-impact-assess-85,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how governance, risk and compliance perform today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
86,14,SEC-DES-86,governance-risk-compliance-high-impact-design-86,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn governance, risk and compliance goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
87,14,SEC-AI_-87,governance-risk-compliance-high-impact-ai-design-87,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define responsible AI for governance, risk and compliance — prioritised use cases, evidence automation, guardrails, and a blueprint ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
88,14,SEC-DEP-88,governance-risk-compliance-high-impact-implementation-88,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed governance, risk and compliance changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
89,14,SEC-AI_-89,governance-risk-compliance-high-impact-ai-implementation-89,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled governance, risk and compliance workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
90,14,SEC-MAN-90,governance-risk-compliance-high-impact-managed-service-90,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve governance, risk and compliance with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
91,15,OPE-ADV-91,enterprise-resource-planning-high-impact-assess-91,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how ERP and core enterprise operations perform today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
92,15,OPE-DES-92,enterprise-resource-planning-high-impact-design-92,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn ERP and core enterprise operations goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
93,15,OPE-AI_-93,enterprise-resource-planning-high-impact-ai-design-93,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for ERP and core enterprise operations, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
